journey_key,customer_key,product_key,date_key,stage,action,duration,visit_count,duration_bucket
239,60,13,515,Checkout,Drop-off,,1,Long
240,15,9,290,Homepage,Click,103.0,1,Medium
241,63,18,565,Checkout,Purchase,101.0,1,Medium
242,76,3,62,Homepage,View,23.0,1,Short
243,82,9,507,Homepage,Click,255.0,1,Long
244,3,5,876,ProductPage,Click,187.0,1,Long
245,69,20,493,ProductPage,Click,283.0,1,Long
246,90,4,619,ProductPage,Click,154.0,1,Long
247,26,9,330,Homepage,View,97.0,1,Medium
248,35,20,450,Homepage,Click,46.0,1,Medium
249,58,7,233,Homepage,View,133.0,1,Long
250,81,13,1047,ProductPage,View,209.0,1,Long
251,13,6,375,Homepage,View,102.0,1,Medium
252,87,19,44,Homepage,View,208.0,1,Long
253,71,11,38,Homepage,Click,279.0,1,Long
254,12,12,802,Homepage,Click,255.0,1,Long
255,95,9,659,ProductPage,Click,239.0,1,Long
256,32,8,917,ProductPage,Click,59.0,1,Medium
257,30,20,677,ProductPage,Click,163.0,1,Long
258,34,5,348,Homepage,View,146.0,1,Long
259,92,14,682,Homepage,Click,16.0,1,Short
260,100,17,958,Homepage,View,265.0,1,Long
261,23,5,1042,Homepage,View,239.0,1,Long
262,52,16,311,ProductPage,View,53.0,1,Medium
263,94,8,465,ProductPage,View,185.0,1,Long
264,3,2,645,ProductPage,View,222.0,1,Long
265,99,16,99,Homepage,Click,235.0,1,Long
266,57,9,438,Homepage,View,185.0,1,Long
267,6,7,869,Checkout,Drop-off,,1,Long
268,67,8,795,Homepage,View,285.0,1,Long
269,9,7,1080,Homepage,Click,16.0,1,Short
270,66,9,204,Checkout,Purchase,296.0,1,Long
271,20,4,993,Checkout,Drop-off,,1,Long
272,17,10,246,Checkout,Drop-off,,1,Long
273,87,1,843,Checkout,Drop-off,,1,Long
274,95,19,302,Checkout,Drop-off,,1,Long
275,88,13,340,Checkout,Drop-off,,1,Long
276,27,19,357,Checkout,Drop-off,,1,Long
277,63,12,1041,ProductPage,View,300.0,1,Long
278,78,8,403,ProductPage,View,125.0,1,Long
279,97,1,818,Checkout,Drop-off,,1,Long
280,69,15,291,Homepage,Click,223.0,1,Long
281,10,4,768,Homepage,View,236.0,1,Long
282,67,12,588,Homepage,View,256.0,1,Long
283,90,14,767,ProductPage,View,106.0,1,Medium
284,88,7,299,Homepage,Click,278.0,1,Long
285,58,4,559,Checkout,Purchase,269.0,1,Long
286,51,19,244,Homepage,View,243.0,1,Long
287,100,13,43,Checkout,Drop-off,,1,Long
288,6,1,132,Homepage,Click,128.0,1,Long
289,90,12,989,Checkout,Purchase,148.0,1,Long
290,49,20,134,Checkout,Drop-off,,1,Long
291,32,6,337,Homepage,Click,264.0,1,Long
292,39,15,186,ProductPage,Click,201.0,1,Long
293,18,19,282,ProductPage,Click,77.0,1,Medium
294,41,5,243,Homepage,Click,121.0,1,Long
295,92,19,118,Checkout,Purchase,220.0,1,Long
296,50,4,684,Checkout,Drop-off,,1,Long
297,74,4,460,Homepage,Click,163.0,1,Long
298,84,10,750,Checkout,Purchase,80.0,1,Medium
299,7,9,1062,Homepage,View,195.0,1,Long
300,91,16,294,Checkout,Drop-off,,1,Long
301,84,3,46,ProductPage,View,148.0,1,Long
302,14,10,259,Checkout,Drop-off,,1,Long
303,80,9,541,Homepage,View,212.0,1,Long
304,91,12,157,ProductPage,View,43.0,1,Medium
305,74,20,1009,ProductPage,View,41.0,1,Medium
306,71,2,226,Homepage,Click,179.0,1,Long
307,85,11,809,ProductPage,Click,209.0,1,Long
308,80,12,833,Homepage,Click,178.0,1,Long
309,38,11,625,ProductPage,Click,176.0,1,Long
310,73,18,339,ProductPage,Click,216.0,1,Long
311,33,19,437,ProductPage,Click,67.0,1,Medium
312,9,11,166,Checkout,Purchase,165.0,1,Long
313,85,5,311,ProductPage,View,140.0,1,Long
314,75,11,760,Homepage,View,297.0,1,Long
315,21,6,340,Homepage,Click,74.0,1,Medium
316,91,19,1078,Homepage,Click,260.0,1,Long
317,13,6,112,Homepage,View,88.0,1,Medium
318,13,4,794,Homepage,View,221.0,1,Long
319,64,10,960,Homepage,View,99.0,1,Medium
320,94,8,1095,Checkout,Drop-off,,1,Long
321,10,3,725,Checkout,Drop-off,,1,Long
322,22,18,542,ProductPage,View,18.0,1,Short
323,44,19,860,Homepage,View,254.0,1,Long
324,77,9,827,ProductPage,View,275.0,1,Long
325,47,7,62,Checkout,Drop-off,,1,Long
326,79,19,731,Homepage,View,69.0,1,Medium
327,11,14,516,Homepage,View,204.0,1,Long
328,46,16,753,ProductPage,View,52.0,1,Medium
329,88,15,86,Homepage,Click,221.0,1,Long
330,3,14,498,Checkout,Purchase,249.0,1,Long
331,2,8,889,ProductPage,View,128.0,1,Long
332,68,6,819,Homepage,View,111.0,1,Medium
333,42,7,532,Homepage,Click,217.0,1,Long
334,43,18,664,Homepage,Click,160.0,1,Long
335,93,16,662,ProductPage,Click,248.0,1,Long
336,74,11,829,Homepage,Click,237.0,1,Long
337,71,1,720,Homepage,Click,94.0,1,Medium
338,51,3,566,ProductPage,Click,288.0,1,Long
339,37,6,708,ProductPage,Drop-off,,1,Long
340,63,20,904,ProductPage,View,98.0,1,Medium
341,79,11,805,Homepage,View,16.0,1,Short
342,23,17,567,ProductPage,View,109.0,1,Medium
343,50,12,950,Checkout,Drop-off,,1,Long
344,77,1,857,Homepage,View,14.0,1,Short
345,27,6,753,Checkout,Drop-off,,1,Long
346,68,11,560,Homepage,Click,284.0,1,Long
347,76,16,571,ProductPage,Click,117.0,1,Medium
348,10,5,789,Homepage,View,144.0,1,Long
349,89,4,380,ProductPage,View,193.0,1,Long
350,99,18,811,ProductPage,View,103.0,1,Medium
351,65,16,201,Homepage,View,18.0,1,Short
352,98,7,1006,ProductPage,View,165.0,1,Long
353,19,10,591,Homepage,View,60.0,1,Medium
354,34,3,83,Homepage,Click,110.0,1,Medium
355,97,4,811,Homepage,Click,22.0,1,Short
356,65,18,422,Homepage,View,234.0,1,Long
357,11,13,854,Homepage,View,174.0,1,Long
358,62,11,252,Homepage,Click,191.0,1,Long
359,2,17,472,Homepage,View,141.0,1,Long
360,63,18,271,Homepage,Click,270.0,1,Long
361,96,9,1065,ProductPage,Drop-off,,1,Long
362,82,10,180,Homepage,View,300.0,1,Long
363,80,10,128,ProductPage,View,123.0,1,Long
364,48,16,1029,Homepage,View,30.0,1,Medium
365,6,5,186,Checkout,Drop-off,,1,Long
366,37,2,1013,Checkout,Drop-off,,1,Long
367,61,18,94,Homepage,View,272.0,1,Long
368,26,10,880,ProductPage,View,217.0,1,Long
369,89,4,112,ProductPage,View,192.0,1,Long
370,15,15,968,ProductPage,View,173.0,1,Long
371,71,11,302,ProductPage,View,227.0,1,Long
372,76,16,46,Homepage,View,231.0,1,Long
373,51,19,496,Homepage,Click,219.0,1,Long
374,67,13,272,ProductPage,Click,114.0,1,Medium
375,23,2,829,Checkout,Purchase,125.0,1,Long
376,40,1,905,ProductPage,View,216.0,1,Long
377,86,10,938,ProductPage,View,99.0,1,Medium
378,60,1,337,ProductPage,View,124.0,1,Long
379,92,15,726,Checkout,Drop-off,,1,Long
380,1,11,180,Checkout,Drop-off,,1,Long
381,2,3,479,ProductPage,View,187.0,1,Long
382,92,19,918,ProductPage,View,260.0,1,Long
383,55,6,34,ProductPage,View,72.0,1,Medium
384,2,12,664,Checkout,Drop-off,,1,Long
385,90,2,867,ProductPage,View,189.0,1,Long
386,37,6,243,ProductPage,View,168.0,1,Long
387,22,4,750,Checkout,Drop-off,,1,Long
388,40,11,733,Homepage,View,11.0,1,Short
389,63,4,135,ProductPage,View,276.0,1,Long
390,74,7,228,Checkout,Drop-off,,1,Long
391,74,13,872,Checkout,Drop-off,,1,Long
392,50,13,472,ProductPage,View,50.0,1,Medium
393,14,5,543,ProductPage,View,120.0,1,Medium
394,39,5,868,ProductPage,View,143.0,1,Long
395,73,10,993,Homepage,View,59.0,1,Medium
396,62,9,104,ProductPage,View,238.0,1,Long
397,54,15,107,Homepage,Click,239.0,1,Long
398,86,17,825,Homepage,View,290.0,1,Long
399,26,2,977,ProductPage,View,108.0,1,Medium
400,28,12,547,Homepage,View,45.0,1,Medium
401,86,20,856,ProductPage,View,203.0,1,Long
402,42,4,725,Homepage,View,278.0,1,Long
403,47,2,111,ProductPage,View,112.0,1,Medium
404,30,13,143,Homepage,View,112.0,1,Medium
405,97,7,630,ProductPage,View,40.0,1,Medium
406,27,7,891,ProductPage,View,107.0,1,Medium
407,79,6,453,Homepage,Click,35.0,1,Medium
408,36,15,427,Homepage,Click,182.0,1,Long
409,90,17,941,Homepage,Click,44.0,1,Medium
410,71,12,287,Homepage,View,38.0,1,Medium
411,74,19,70,Homepage,Click,231.0,1,Long
412,3,20,982,ProductPage,Click,74.0,1,Medium
413,29,5,221,ProductPage,Click,235.0,1,Long
414,24,15,888,ProductPage,Drop-off,,1,Long
415,56,2,330,Homepage,View,35.0,1,Medium
416,34,6,1029,ProductPage,View,151.0,1,Long
417,50,12,431,Homepage,View,205.0,1,Long
418,97,8,521,Checkout,Drop-off,,1,Long
419,52,7,341,Checkout,Drop-off,,1,Long
420,25,16,278,Homepage,Click,204.0,1,Long
421,25,2,326,ProductPage,Click,269.0,1,Long
422,87,6,674,Homepage,View,263.0,1,Long
423,26,15,194,Homepage,Click,121.0,1,Long
424,94,10,257,Checkout,Purchase,164.0,1,Long
425,60,16,722,Homepage,Click,287.0,1,Long
426,60,20,819,ProductPage,Click,158.0,1,Long
427,98,2,70,Homepage,View,262.0,1,Long
428,48,12,1100,Homepage,View,242.0,1,Long
429,100,15,123,Homepage,Click,97.0,1,Medium
430,7,20,781,ProductPage,Click,63.0,1,Medium
431,66,12,1004,ProductPage,Click,229.0,1,Long
432,73,3,265,ProductPage,Click,27.0,1,Short
433,20,18,1093,ProductPage,Click,205.0,1,Long
434,46,4,303,Homepage,View,94.0,1,Medium
435,45,8,751,ProductPage,View,134.0,1,Long
436,91,20,532,ProductPage,View,206.0,1,Long
437,43,14,921,Homepage,Click,164.0,1,Long
438,73,10,711,Homepage,Click,45.0,1,Medium
439,87,12,456,Homepage,View,252.0,1,Long
440,2,7,1047,ProductPage,View,187.0,1,Long
441,3,5,174,ProductPage,View,51.0,1,Medium
442,74,13,329,Homepage,View,164.0,1,Long
443,98,5,278,Checkout,Drop-off,,1,Long
444,76,18,789,Homepage,Click,220.0,1,Long
445,4,3,891,ProductPage,Click,235.0,1,Long
446,92,13,491,Homepage,Click,108.0,1,Medium
447,64,11,411,Checkout,Purchase,65.0,1,Medium
448,27,4,304,ProductPage,View,279.0,1,Long
449,15,8,862,ProductPage,View,83.0,1,Medium
450,68,16,337,ProductPage,View,20.0,1,Short
451,17,14,1093,Homepage,View,142.0,1,Long
452,86,4,677,Checkout,Drop-off,,1,Long
453,49,17,75,Homepage,View,188.0,1,Long
454,93,3,183,Homepage,View,268.0,1,Long
455,79,10,865,ProductPage,View,126.0,1,Long
456,93,20,283,Checkout,Drop-off,,1,Long
457,33,19,303,Homepage,Click,71.0,1,Medium
458,94,2,782,Checkout,Purchase,192.0,1,Long
459,58,7,682,Homepage,View,159.0,1,Long
460,45,3,79,Homepage,Click,96.0,1,Medium
461,19,5,645,Checkout,Purchase,176.0,1,Long
462,59,6,866,ProductPage,View,199.0,1,Long
463,32,17,65,ProductPage,View,185.0,1,Long
464,32,1,314,ProductPage,View,153.0,1,Long
465,27,1,1000,ProductPage,View,228.0,1,Long
466,35,20,972,ProductPage,View,200.0,1,Long
467,32,3,1049,ProductPage,View,37.0,1,Medium
468,3,19,938,Homepage,View,215.0,1,Long
469,18,16,1093,ProductPage,View,33.0,1,Medium
470,76,16,419,Homepage,Click,28.0,1,Short
471,14,16,428,ProductPage,Click,10.0,1,Short
472,28,14,830,ProductPage,Click,94.0,1,Medium
473,76,2,842,ProductPage,Click,168.0,1,Long
474,59,3,114,ProductPage,Click,72.0,1,Medium
475,91,6,806,Homepage,Click,90.0,1,Medium
476,80,4,631,Homepage,Click,41.0,1,Medium
477,94,11,862,ProductPage,Click,56.0,1,Medium
478,80,7,1001,ProductPage,Click,225.0,1,Long
479,63,17,48,ProductPage,Click,296.0,1,Long
480,30,12,1058,Homepage,Click,29.0,1,Short
481,43,7,930,ProductPage,Click,261.0,1,Long
482,72,4,1110,ProductPage,Click,126.0,1,Long
483,86,17,672,Homepage,View,153.0,1,Long
484,98,7,273,Homepage,Click,222.0,1,Long
485,100,4,95,ProductPage,Click,101.0,1,Medium
486,91,16,199,Homepage,View,226.0,1,Long
487,35,19,158,Checkout,Drop-off,,1,Long
488,72,16,264,Checkout,Drop-off,,1,Long
489,57,16,479,Homepage,View,266.0,1,Long
490,53,13,849,ProductPage,View,108.0,1,Medium
491,77,19,165,Checkout,Drop-off,,1,Long
492,69,20,898,ProductPage,View,186.0,1,Long
493,32,7,510,Checkout,Drop-off,,1,Long
494,29,6,697,Checkout,Drop-off,,1,Long
495,43,2,66,Checkout,Drop-off,,1,Long
496,76,20,739,Homepage,Click,66.0,1,Medium
497,55,15,535,Homepage,View,83.0,1,Medium
498,33,20,661,Checkout,Drop-off,,1,Long
499,95,18,420,ProductPage,View,112.0,1,Medium
500,29,8,974,Homepage,Click,277.0,1,Long
501,57,17,323,Homepage,View,14.0,1,Short
502,10,3,262,ProductPage,View,134.0,1,Long
503,35,9,80,Homepage,Click,239.0,1,Long
504,4,13,801,Homepage,Click,281.0,1,Long
505,15,11,78,Homepage,Click,167.0,1,Long
506,100,17,263,Homepage,View,69.0,1,Medium
507,90,17,764,ProductPage,View,259.0,1,Long
508,48,15,653,ProductPage,View,64.0,1,Medium
509,42,16,1093,ProductPage,View,53.0,1,Medium
510,14,14,386,Checkout,Drop-off,,1,Long
511,65,3,905,ProductPage,View,40.0,1,Medium
512,67,11,1070,Homepage,Click,229.0,1,Long
513,91,17,505,ProductPage,Click,195.0,1,Long
514,24,3,566,ProductPage,Click,38.0,1,Medium
515,49,3,905,Homepage,View,231.0,1,Long
516,14,15,300,Checkout,Drop-off,,1,Long
517,55,10,769,Homepage,View,19.0,1,Short
518,89,12,221,Homepage,View,56.0,1,Medium
519,99,1,470,ProductPage,View,206.0,1,Long
520,42,16,956,Checkout,Drop-off,,1,Long
521,12,13,481,Checkout,Drop-off,,1,Long
522,78,19,197,Homepage,View,101.0,1,Medium
523,85,2,1043,Homepage,Click,240.0,1,Long
524,34,13,133,Homepage,View,65.0,1,Medium
525,34,10,236,ProductPage,View,61.0,1,Medium
526,87,9,899,Checkout,Drop-off,,1,Long
527,66,14,933,ProductPage,View,33.0,1,Medium
528,38,6,720,ProductPage,View,156.0,1,Long
529,83,14,1025,ProductPage,View,173.0,1,Long
530,76,8,96,Homepage,View,159.0,1,Long
531,20,3,904,Homepage,Click,264.0,1,Long
532,98,12,193,ProductPage,Click,278.0,1,Long
533,33,11,60,Checkout,Purchase,84.0,1,Medium
534,59,7,778,Homepage,Click,224.0,1,Long
535,4,7,852,Homepage,View,135.0,1,Long
536,55,17,943,ProductPage,View,272.0,1,Long
537,52,6,853,ProductPage,View,291.0,1,Long
538,25,9,498,Homepage,View,232.0,1,Long
539,18,1,89,ProductPage,View,139.0,1,Long
540,28,6,544,Homepage,Click,122.0,1,Long
541,70,1,347,Checkout,Purchase,194.0,1,Long
542,43,2,153,Homepage,View,16.0,1,Short
543,7,7,574,Checkout,Drop-off,,1,Long
544,58,3,507,ProductPage,View,89.0,1,Medium
545,81,19,451,Homepage,View,248.0,1,Long
546,77,2,842,Homepage,View,257.0,1,Long
547,15,7,175,ProductPage,View,13.0,1,Short
548,84,17,130,Homepage,View,254.0,1,Long
549,50,4,261,Homepage,View,110.0,1,Medium
550,77,14,927,Checkout,Drop-off,,1,Long
