engagement_key,product_key,date_key,campaign_id,content_type,likes,views_clicks_combined,engagement_score,views,clicks
381,3,821,20,Video,10,2509-181,,2509,181
382,2,155,1,Blog,30,286-95,,286,95
383,6,205,20,NEWSLETTER,522,8138-1754,,8138,1754
384,8,137,10,Socialmedia,305,7361-2639,,7361,2639
385,8,569,5,Socialmedia,33,2505-324,,2505,324
386,18,1106,16,blog,0,448-21,,448,21
387,8,728,6,socialmedia,74,2680-441,,2680,441
388,3,40,6,socialmedia,533,5684-1754,,5684,1754
389,1,541,4,Socialmedia,46,1548-309,,1548,309
390,7,285,15,blog,526,5569-1596,,5569,1596
391,18,856,14,Newsletter,2,555-29,,555,29
392,6,827,16,SOCIALMEDIA,10,972-132,,972,132
393,4,941,5,Socialmedia,4,1649-89,,1649,89
394,17,174,8,video,41,1434-320,,1434,320
395,1,71,3,Video,681,4746-2012,,4746,2012
396,14,726,14,blog,30,1770-194,,1770,194
397,9,171,18,Newsletter,487,3491-1278,,3491,1278
398,20,1022,12,BLOG,0,522-21,,522,21
399,1,126,5,newsletter,380,4548-1543,,4548,1543
400,2,639,6,Blog,34,1815-324,,1815,324
401,17,959,12,Blog,1,1305-30,,1305,30
402,5,35,14,Video,950,9328-4574,,9328,4574
403,11,627,18,VIDEO,18,2059-119,,2059,119
404,8,677,12,NEWSLETTER,22,2848-381,,2848,381
405,7,561,6,newsletter,110,2490-541,,2490,541
406,7,283,16,socialmedia,137,6347-741,,6347,741
407,16,1009,7,BLOG,0,318-6,,318,6
408,12,621,4,newsletter,33,1097-199,,1097,199
409,5,452,13,Blog,4,412-37,,412,37
410,2,648,20,socialmedia,105,3711-543,,3711,543
411,12,409,20,blog,503,5430-1637,,5430,1637
412,16,919,14,newsletter,1,836-46,,836,46
413,8,627,5,blog,21,2164-250,,2164,250
414,3,433,9,socialmedia,130,4684-502,,4684,502
415,16,912,15,blog,6,1922-94,,1922,94
416,19,362,5,newsletter,157,4543-1195,,4543,1195
417,2,526,6,Blog,43,3275-256,,3275,256
418,15,1007,10,Video,1,846-28,,846,28
419,10,90,7,Socialmedia,409,2803-978,,2803,978
420,13,334,1,blog,188,4713-1086,,4713,1086
421,8,974,14,BLOG,1,557-36,,557,36
422,8,996,15,blog,1,1064-63,,1064,63
423,6,364,16,blog,130,3504-1178,,3504,1178
424,9,1086,2,video,0,101-1,,101,1
425,8,706,20,Socialmedia,17,2097-102,,2097,102
426,4,655,12,VIDEO,34,1186-225,,1186,225
427,15,959,15,Blog,0,235-16,,235,16
428,17,1108,12,Video,0,120-3,,120,3
429,13,437,13,VIDEO,251,4450-814,,4450,814
430,6,1089,2,Video,0,677-9,,677,9
431,16,995,20,Video,0,1044-14,,1044,14
432,12,779,9,newsletter,4,1773-111,,1773,111
433,7,548,20,newsletter,1,83-19,,83,19
434,17,929,17,Blog,0,112-3,,112,3
435,6,658,19,video,9,580-88,,580,88
436,8,654,4,newsletter,5,514-47,,514,47
437,11,463,5,Blog,71,3986-307,,3986,307
438,17,414,4,Socialmedia,186,2678-661,,2678,661
439,14,528,13,Blog,66,3674-281,,3674,281
440,20,509,5,BLOG,3,175-18,,175,18
441,18,447,5,SOCIALMEDIA,131,5865-712,,5865,712
442,6,880,14,Newsletter,4,1693-89,,1693,89
443,12,706,8,Socialmedia,97,3591-613,,3591,613
444,20,784,8,Blog,2,487-57,,487,57
445,18,903,16,Newsletter,5,1479-80,,1479,80
446,9,935,5,NEWSLETTER,2,1053-48,,1053,48
447,10,1105,2,Socialmedia,0,877-21,,877,21
448,5,930,7,socialmedia,4,1705-130,,1705,130
449,16,331,10,SOCIALMEDIA,61,1147-209,,1147,209
450,15,140,20,SOCIALMEDIA,332,5462-1685,,5462,1685
451,16,627,5,Socialmedia,15,624-131,,624,131
452,14,765,5,VIDEO,15,1853-259,,1853,259
453,19,939,15,NEWSLETTER,2,1224-49,,1224,49
454,8,366,4,Blog,46,1701-528,,1701,528
455,19,502,19,video,0,58-4,,58,4
456,14,1015,8,video,0,518-13,,518,13
457,1,504,16,Socialmedia,67,3815-1077,,3815,1077
458,7,571,7,NEWSLETTER,43,2995-415,,2995,415
459,2,739,8,Socialmedia,9,1186-129,,1186,129
460,18,200,18,socialmedia,296,6974-1320,,6974,1320
461,15,537,19,Newsletter,8,204-44,,204,44
462,2,658,13,newsletter,25,2717-304,,2717,304
463,13,735,13,NEWSLETTER,7,2060-143,,2060,143
464,5,506,3,NEWSLETTER,2,62-15,,62,15
465,14,210,1,blog,134,5626-497,,5626,497
466,8,552,7,blog,52,3351-359,,3351,359
467,4,191,18,Socialmedia,208,4551-1228,,4551,1228
468,20,283,15,socialmedia,92,4974-408,,4974,408
469,4,693,9,socialmedia,2,171-17,,171,17
470,1,800,4,Blog,6,983-64,,983,64
471,5,526,4,VIDEO,34,2972-216,,2972,216
472,3,56,10,newsletter,94,1190-285,,1190,285
473,14,826,3,Socialmedia,27,2267-253,,2267,253
474,8,889,4,Newsletter,2,1173-81,,1173,81
475,20,847,1,newsletter,3,824-70,,824,70
476,7,536,10,blog,293,5021-1098,,5021,1098
477,6,684,17,Newsletter,20,563-105,,563,105
478,13,687,8,Socialmedia,39,3326-410,,3326,410
479,19,676,17,Socialmedia,34,2049-331,,2049,331
480,2,294,15,socialmedia,85,2066-387,,2066,387
481,10,259,15,Blog,206,3561-1185,,3561,1185
482,14,120,7,SOCIALMEDIA,76,1144-456,,1144,456
483,7,745,14,newsletter,7,1597-101,,1597,101
484,7,515,1,Socialmedia,67,4059-459,,4059,459
485,20,152,18,VIDEO,335,1970-817,,1970,817
486,13,512,10,VIDEO,50,2158-254,,2158,254
487,7,840,1,Video,22,2050-203,,2050,203
488,20,402,8,BLOG,80,2132-373,,2132,373
489,9,852,20,Video,2,1407-66,,1407,66
490,9,720,19,Socialmedia,9,1409-103,,1409,103
491,15,125,20,Newsletter,103,1560-297,,1560,297
492,8,621,14,Newsletter,0,69-5,,69,5
493,3,638,7,socialmedia,74,3071-537,,3071,537
494,13,530,3,SOCIALMEDIA,53,4224-509,,4224,509
495,17,354,20,socialmedia,84,2656-799,,2656,799
496,5,325,3,Newsletter,386,4193-1431,,4193,1431
497,7,1091,16,BLOG,0,998-11,,998,11
498,18,493,4,Socialmedia,125,1734-452,,1734,452
499,11,790,12,video,9,2575-97,,2575,97
500,13,56,18,SOCIALMEDIA,194,3819-958,,3819,958
501,2,803,3,blog,4,2595-108,,2595,108
502,5,105,19,NEWSLETTER,133,2570-778,,2570,778
503,18,298,4,Socialmedia,202,1951-574,,1951,574
504,11,699,17,blog,58,2577-420,,2577,420
505,19,381,5,SOCIALMEDIA,9,121-37,,121,37
506,2,829,17,Blog,1,763-46,,763,46
507,13,98,8,BLOG,159,2226-575,,2226,575
508,13,430,7,Video,213,5316-836,,5316,836
509,6,256,14,socialmedia,34,508-147,,508,147
510,13,788,1,BLOG,11,2088-132,,2088,132
511,16,299,16,Socialmedia,220,2552-770,,2552,770
512,14,607,8,Video,33,2172-147,,2172,147
513,9,455,18,BLOG,87,2506-408,,2506,408
514,19,839,18,newsletter,14,1896-185,,1896,185
515,3,1018,17,newsletter,0,468-11,,468,11
516,16,101,4,Blog,123,4421-503,,4421,503
517,20,700,18,Video,35,2778-263,,2778,263
518,5,559,13,NEWSLETTER,54,2552-406,,2552,406
519,15,284,18,Video,39,1113-172,,1113,172
520,4,39,9,Socialmedia,1405,7251-3048,,7251,3048
521,1,691,4,newsletter,60,2268-424,,2268,424
522,16,999,18,Socialmedia,0,807-33,,807,33
523,1,254,7,blog,188,6420-1094,,6420,1094
524,14,579,4,Video,37,1089-167,,1089,167
525,7,1053,10,socialmedia,0,99-2,,99,2
526,5,395,19,SOCIALMEDIA,440,6457-2136,,6457,2136
527,13,1028,15,socialmedia,0,18-0,,18,0
528,4,970,19,socialmedia,0,335-8,,335,8
529,3,423,18,SOCIALMEDIA,147,3633-668,,3633,668
530,2,851,10,Newsletter,8,914-81,,914,81
531,12,544,15,BLOG,28,4245-235,,4245,235
532,13,1124,15,video,0,498-20,,498,20
